번호,대분류,중분류,소분류,제목,동영상주소,운동장소구분,
1,국민체력100,백세편살 운동처방,집콕운동,집중력 버프가 필요할 때? (ep1. 뇌를 자극시키는 집중력 향상 운동) 집콕운동,https://youtu.be/6AiSi3E3ifs,실내운동,
2,국민체력100,백세편살 운동처방,집콕운동,운동 효과도 더블로가 (ep2. 수다잼 운동잼 짝 스트레칭),https://youtu.be/2gHcoelhHw0,실내운동,
3,국민체력100,백세편살 운동처방,집콕운동,깨어나세요 용사여..! (ep3. 체력 +999 강화 운동),https://youtu.be/CRMpWponGIc,실내운동,
4,국민체력100,백세편살 운동처방,집콕운동,꽃보다 근력! 꽃중년을 위한 의자운동 (ep4. 부상 없는 어르신 운동),https://youtu.be/6ulvd_mw_uo,실내운동,
5,국민체력100,백세편살 운동처방,집콕운동,[ENG] 뻣뻣한 몸이 10분만에 말랑말랑! (ep5. 10가지 스트레칭 루틴) 10min Home Workout｜Stretching Routine,https://youtu.be/6ies7bJfYRs,실내운동,
6,국민체력100,백세편살 운동처방,집콕운동,키는 쑥쑥! 체형은 바르게 (ep.6 바른 성장을 위한 키즈 요가),https://youtu.be/YevYZNaPgEw,실내운동,
7,국민체력100,백세편살 운동처방,집콕운동,키는 쑥쑥! 체형은 바르게 (ep.6 바른 성장을 위한 키즈 요가),https://youtu.be/4ZLaumFIAfk,실내운동,
8,국민체력100,백세편살 운동처방,집콕운동,일상을 멈출 수 없다면 통증을 멈추세요! (ep.8 시니어를 위한 하체와 코어 요가),https://youtu.be/clifZdPnX9E,실내운동,
9,국민체력100,백세편살 운동처방,집콕운동,추석이 끝나도 붓기 없는 몸을 선물하는 스트레칭 하루 7분 (ep.9 명절 증후군 없애는 스트레칭),https://youtu.be/OtFsfY1RzO4,실내운동,
10,국민체력100,백세편살 운동처방,집콕운동,추석 먹부림으로 급찐살 빼는 운동 송편한접시쯤 그냥 빠질 듯 6분 운동 (ep.10 칼로리 소모를 높이는 전신운동),https://youtu.be/AygL5ZUWD-k,실내운동,
11,국민체력100,백세편살 운동처방,집콕운동,딱 5분! 중상급자 상체 챌린지 홈트 프로운동러 처방사님도 땀이 주루룩 (ep.11 중상급자를 위한 상체 챌린지),https://youtu.be/owKBuruZh6o,실내운동,
12,국민체력100,백세편살 운동처방,집콕운동,딱 5분! 중상급자 하체 챌린지 홈트 과연 당신은 할 수 있을지?!! (ep.12 중상급자를 위한 하체 챌린지),https://youtu.be/Gw73tXd_Wow,실내운동,
13,국민체력100,백세편살 운동처방,집콕운동,북극한파 빙판길에서 살아남는 10분 운동법 (ep.13 낙상 예방 운동) 10min WORKOUT,https://youtu.be/ZqVxVExFDuA,실외운동,비공개
14,국민체력100,백세편살 운동처방,집콕운동,뼈가 튼튼해지는 10분 운동법 (ep.14 골밀도 강화 운동),https://youtu.be/uUT9odWaPPw,실내운동,
15,국민체력100,백세편살 운동처방,집콕운동,집에서 사뿐사뿐 유산소 운동 가능? 웅가능!!! 체력향상  다이어트  땀뻘뻘 홈트 (ep.15 NO층간소음 #1),https://youtu.be/DuSIEmcodeU,실내운동,
16,국민체력100,백세편살 운동처방,집콕운동,누운 김에 11자 복근 만들어드립니다 체력향상  코어  복근 (ep.16 NO층간소음 #2),https://youtu.be/OJk1dk-Px1c,실내운동,
17,국민체력100,백세편살 운동처방,집콕운동,리얼 집콕운동 (feat.해병대 출신) 양치  재택근무  설거지  빨래할 때 추천 운동(ep.17 NO층간소음 #4)_다이어트  칼로리소모  땀나는 운동  지방감소,https://youtu.be/5OuS13W2DYw,실내운동,
18,국민체력100,백세편살 운동처방,집콕운동,[ASMR운동] #1. 조용하게 칼로리 태우기 아기 몰래 운동하는 법 ,https://youtu.be/9Sk2Xfgcb9c,실내운동,
19,국민체력100,백세편살 운동처방,집콕운동,[소도구 운동] #1. 물병편 철이 없었죠. 물병이 없어서 운동을 못했다는 것 자체가 유산소  전신  근력  상체  하체  복근,https://youtu.be/vBT9uYhj9WI,실내운동,
20,국민체력100,백세편살 운동처방,집콕운동,[소도구 운동] #2. 계단편 운동할 곳 없다는 핑계는 NO! 계단이 있잖아요 유산소  전신  근력,https://youtu.be/TEFpZBNPXBU,실외운동,
21,국민체력100,백세편살 운동처방,다이어트 댄스,사랑의 재개발 &찐이야 트로트 다이어트 댄스 칼로리 소모 끝판왕 신이난다 신이나,https://youtu.be/SppuZgNfIFo,실내운동,애매
22,국민체력100,백세편살 운동처방,다이어트 댄스,순정 &천생연분 90년대 추억의 노래와 함께 그 시절의 몸으로 BACK 체력도 BACK ,https://youtu.be/E_dWHCrHbfM,실내운동,애매
23,국민체력100,백세편살 운동처방,다이어트 댄스,내 나이가 어때서 &진또배기 흥이난다 흥이나 집에서 명절느낌내기,https://youtu.be/HIaBlv0MGek,실내운동,애매
24,국민체력100,백세편살 운동처방,다이어트 댄스,Dynamite &주라주라 스트레스 뿌셔뿌셔 고민걱정 날리GO 지방 날리GO,https://youtu.be/osn4_oxOBZI,실내운동,애매
25,국민체력100,백세편살 운동처방,다이어트 댄스,Savage Love &Bad 다이어트 댄스(탄력밴드ver.) 지방 다 태워버리는 매운맛 운동,https://youtu.be/uj3K878KnFo,실내운동,애매
26,국민체력100,백세편살 운동처방,다이어트 댄스,Uptown Funk &HandClap 다이어트 댄스(서바이벌ver.) 누가 서바이벌만 합니까. 같이 살 뺍니다. 실시!,https://youtu.be/3YolNeNanLU,실내운동,애매
27,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 팔굽혀펴기 근력·근지구력 향상 프로그램,https://youtu.be/8iUa8b_j9QI,실내운동,
28,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 누워서 뒤로 팔굽혀펴기 근력·근지구력 향상 프로그램,https://youtu.be/_QdRvkPQ-EE,실내운동,
29,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 앉아서 엉덩이 들고 이동하기 근력·근지구력 향상 프로그램,https://youtu.be/nIYbPqFNO4U,실내운동,
30,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 엎드려 팔로 걷기 근력·근지구력 향상 프로그램,https://youtu.be/J8AH3hWBVME,실내운동,
31,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 아령 앞으로 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/eKgfqbub0uE,실내운동,
32,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 아령 뒤로 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/qj3zLd6yHic,실내운동,
33,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 의자 잡고 팔 뒤로 굽히기 근력·근지구력 향상 프로그램,https://youtu.be/05Lk6_BvAmg,실내운동,
34,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 밴드 앞 옆으로 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/a8g7ZyPdGfc,실내운동,
35,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 밴드 어깨 뒤로 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/WRG6W36C7VU,실내운동,
36,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 엎드려 상체 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/NcMo93Lp2bs,실내운동,
37,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 슈퍼맨자세 근력·근지구력 향상 프로그램,https://youtu.be/4-OXSsCc7tE,실내운동,
38,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 엎드려 팔 대고 버티기 근력·근지구력 향상 프로그램,https://youtu.be/hfO4ZCt_DM4,실내운동,
39,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 옆으로 팔 대고 버티기2 근력·근지구력 향상 프로그램,https://youtu.be/lVxep68_b-Y,실내운동,
40,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 앉아서 다리 펴고 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/8ko-zEe6QbU,실내운동,
41,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 누워서 다리 펴고 원 그리기 근력·근지구력 향상 프로그램,https://youtu.be/zI8DaA4G5lc,실내운동,
42,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 팔꿈치 무릎 교차 닿기 근력·근지구력 향상 프로그램,https://youtu.be/XBDKsUgPmiI,실내운동,
